Survey Item Category,Survey Item,Response
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Needs more outreach and fun community collaboration and engagement
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","It has been several years since I used the facility, but at the time, it was not open at night. This made it next to useless for my target population. At the time, my impression was that the facility was being run for the convenience of the persons in charge."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","I’ve only visited the MYC several years ago for a child’s birthday. The facility appeared to be run down, not a lot of   upkeep (pride) put into it. The games,   were old games, pool table had bad pool sticks.   I would hope the upkeep of the facility and entertainment has improved. Make events (learning, games, movies, summer camps/meals) that grasps the youths attention along with the parents to encourage the parents to send their youth to the facility."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",NA
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Used so sparsely
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Never open
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It is old and unkept.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Poor service
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",We do not get enough positive information regarding how  groups supporting disadvantaged youth of East Austin use the facility or events being held at the venue to celebrate outstanding accomplishments.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It is not open enough to meet the needs of thre children in the neighborhood.  They need to have after school hours and activities where children can go and be safe and not be hanging in the streets
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","I think it meets the needs but it is overdue for an update. I remember when it first open and the programs catered to us as teens during that time. Now,  the center have broken equipment, old and slow performing video games and machines, outdated look, etc. then again, east side is not the same 😒 oh, the movie theater is old and uncomfortable and the kiddie play area is no use no more."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",You never hear about anything that is going on there.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",I feel it meets the needs but just needs more promotion.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It seems like it could have better potential as a community youth center. It feels a bit run down but with potential not sure why it doesn’t integrate in someway with Rosewood rec for programs or other. Hate to complain though because I have found that Adler and austin chamber take complaints as an excuse to take down buildings and changing The Who - that is served.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",There aren’t enough community events for the youth. There should be a variety of activities
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",I feel maybe they could offer more classes or structured events that would get kids to go there. I don’t see many young people from the neighborhood there
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Most of the technology in the building is outdated. The managment of the facility does not relate to current youth interest. The space is not utilized to the benefit of the community. It should be opperated and administrated by a local black non profit and funded by the city. The city parks department has neglected the site from a administrative and managment perspective. The city has historically underfunded the operations and maintenance of the facility. Classic case of the consistent practices undervaluing the black community by the local government.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","There should be tween and teen based activities. Career fairs for kids, special guest speakers would be great"
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","Needs to be updated,  replace old Games and empty areas.  Used to be a fun place for birthday parties and gatherings.  Needs movies again.  I like going there for movies!"
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",I don’t know where  It is
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",It is underutilized.  Activities lack educational aspect- video games etc.  wasteful - non-productive.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Needs more lighted fields
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The events posted for this facility are VERY specific and not youth oriented - there is work to be done -  It appears the “adults” in town use it as their events hall for very adult specific things which don’t actually reach the interests of those living in this area
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","Machines are broken, food at snack bar is bad, most things are out of order.  Not a fun place."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","The MYEC has limited hours of access (i.e., not available during all hours youth would like to have access). There is little to no marketing for youth events/activities at the MYEC for/to those who live in the community. Having a BOGO (buy one, get one FREE on tickets) or FREE Day (limit/cap of per person cost/expense) from time to time or at least once a month would help financially challenged families to participate and have an outing to plan and look forward to - like the FREE museum days offered. Need to upgrade the movie theater on a regular basis to keep up with technology."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","Better consideration should be given to the hours of operation and the food selection offered.  I recommend having a questionnaire presented to participants as they enter asking for suggestions/input on what services/activities, etc. they would want to have provided. Also, more outreach to the religious community is needed to offer group based youth activity programs that churches could book for various ministries."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","Hours of operation , building is closed many regular schedule days, and customer services not good, management not friendly also"
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The center meets the needs of the Youth in East Austin.  Some youth want high Tech video games in the center.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","The facilities and resources offered are in need of repair, reimagining, and or better resourced to be seen and experienced as a community center for youth and families."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Out of date and never open compared to other facilities and or events are not relevant nor timely. That parking lot should be full every day.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","lack of resources, funding is lacking."
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",To expensive
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Needs engaging activities to keep 12 - 15 olds occupied
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Activities need to follow trends that support youth educational goals for success and self sufficiency.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The last few times I was there the arcade area was run down. The theatre doesn’t get much use anymore.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Needs to be updated to today’s needs of our youth.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","If it offered more after school programs and community events, as well as host/promote special events during summer and holidays.   Maybe fix the movie theater, add a large patio, splash pool area. Its not very inviting"
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?","It meets needs but wish some of the games (e.g., virtual reality) was maintained better.  Also wish there was a practice area for roller skating for kids.  Generally, we like the MYEC and will be back!"
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",The facility is not opened when we are able to use it.
Community Needs,"If you answered ""Does not meet needs"" to the previous question, why do you feel that the MYEC does not meet the needs of youth in Austin, particularly East Austin?",Prices can be prohibitive; movies cannot be shown; activities are not always well-advertised and many times are not marketed to patrons who have given to this community for years. Has the facility hosted opportunities for newer residents to learn the area’s history and for them to learn ways in which to establish a rapport with “neighbor natives”? This may attract patrons who have similar interests in maintaining the MYEC.
